promo_duration_days,promo_investment,promo_price_unit,year,end_date,start_date,event_id,offer_mechanic,ppg_id,promo_tactic,retailer,subsegment_name,promo_duration_weeks,no_promo_price_unit,avg_price_unit,Redemption Rate,volume_lift_pct,total_volume,month,avg_base_volume,ppg-retailer,yearweek,week,volume,revenue,baseline,incremental_volume,promo_investment,incr_revenue,roi,discount
7.0,20.765498064251684,2.947364058469476,2021,2021-04-10,2021-04-04,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-04-04|2021-04-10|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.3023047709470688,2.947364058469476,1.0,150.0,58.50413135,4,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202114.0,14.0,58.50413135,85694.61,23.40165254,3510.2478810000002,20.765498064251684,10345.978440778039,42260.578943721295,0.1074827240660163
7.0,19.913597947829814,2.9619254252783493,2021,2021-04-17,2021-04-11,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-04-11|2021-04-17|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.3023047709470688,2.9619254252783493,1.0,150.0,58.50413135,4,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202115.0,15.0,58.50413135,90714.89,23.40165254,3510.2478810000002,19.913597947829814,10397.09244776335,44068.47886298904,0.1030732683013694
7.0,18.836432084613122,2.972934053281944,2021,2021-04-24,2021-04-18,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-04-18|2021-04-24|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.3023047709470688,2.980337216691379,0.9775233103236516,150.0,58.50413135,4,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202116.0,16.0,58.50413135,70350.86,23.40165254,3510.2478810000002,18.836432084613122,10435.735460885686,46588.545341707904,0.0997396486729068
7.0,,2.9831872320152453,2021,2021-05-01,2021-04-25,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-04-25|2021-05-01|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.3023047709470688,2.9831872320152453,1.0,,,4,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202117.0,17.0,,,,,,,,0.0966347932932621
7.0,18.808104639740034,2.980821412323712,2021,2021-05-08,2021-05-02,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-05-02|2021-05-08|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.3023047709470688,2.980821412323712,1.0,150.0,58.50413135,5,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202118.0,18.0,58.50413135,58969.59,23.40165254,3510.2478810000002,18.808104639740034,10463.422046248737,46658.713733215896,0.0973512079962136
7.0,19.214860731669575,2.973868807737616,2021,2021-05-15,2021-05-09,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-05-09|2021-05-15|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.3023047709470688,2.9738688077376163,0.9999999999999986,150.0,58.50413135,5,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202119.0,19.0,58.50413135,47965.530000000006,23.40165254,3510.2478810000002,19.214860731669575,10439.016680732962,45671.0034230755,0.0994565874412799
7.0,14.516504328138717,2.9932096816137355,2021,2021-05-22,2021-05-16,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-05-16|2021-05-22|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.268043829710796,3.019915979708307,0.9028275842740612,150.0,58.50413135,5,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202120.0,20.0,58.50413135,38099.26,23.40165254,3510.2478810000002,14.516504328138717,10506.907942273301,60452.70613455737,0.0840974486322546
7.0,10.20016496607853,2.9751264382266105,2021,2021-06-05,2021-05-30,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-05-30|2021-06-05|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.157310824230387,2.982961342737256,0.9569946432704576,150.0,58.50413135,6,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202122.0,22.0,58.50413135,33412.15,23.40165254,3510.2478810000002,10.20016496607853,10443.431275492037,86034.0958375088,0.0577023917333779
7.0,7.04072200291684,2.999405020755089,2021,2021-06-12,2021-06-06,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-06-06|2021-06-12|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.119750744047619,2.9994050207550904,0.999999999999996,150.0,58.50413135,6,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202123.0,23.0,58.50413135,30347.98,23.40165254,3510.2478810000002,7.04072200291684,10528.655118366312,124640.90612957628,0.0385754289896861
7.0,4.465694092936788,2.962520860032503,2021,2021-06-19,2021-06-13,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-06-13|2021-06-19|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.050022048690859,2.9736907881475507,0.8723454128302142,150.0,58.50413135,6,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202124.0,24.0,58.50413135,29504.96,23.40165254,3510.2478810000002,4.465694092936788,10399.182571347392,196511.8863914134,0.0286887069212872
